t,z(t),v(t),F(t) (added)
11.66008,-1.144709,-1.502813,114.4709
11.68008,-1.174307,-1.479919,117.4307
11.70008,-1.203436,-1.456433,120.3436
11.72008,-1.232083,-1.432364,123.2083
11.74008,-1.260237,-1.407722,126.0237
11.76008,-1.287888,-1.382517,128.7888
11.78008,-1.315023,-1.35676,131.5023
11.80008,-1.341632,-1.330459,134.1632
11.82008,-1.367705,-1.303627,136.7705
11.84008,-1.39323,-1.276272,139.323
11.86008,-1.418198,-1.248408,141.8198
11.88008,-1.442599,-1.220044,144.2599
11.90008,-1.466423,-1.191192,146.6423
11.92008,-1.48966,-1.161863,148.966
11.94008,-1.512302,-1.13207,151.2302
11.96008,-1.534338,-1.101824,153.4338
11.98008,-1.555761,-1.071138,155.5761
12.00008,-1.576561,-1.040022,157.6561
12.02009,-1.596731,-1.008491,159.6731
12.04009,-1.616262,-0.9765565,161.6262
12.06009,-1.635147,-0.9442313,163.5147
12.08009,-1.653377,-0.9115283,165.3377
12.10009,-1.670947,-0.8784608,167.0947
12.12009,-1.687847,-0.8450419,168.7847
12.14009,-1.704073,-0.8112849,170.4073
12.16009,-1.719617,-0.7772034,171.9617
12.18009,-1.734473,-0.7428111,173.4473
12.20009,-1.748636,-0.7081216,174.8636
12.22009,-1.762099,-0.6731489,176.2099
12.24009,-1.774857,-0.6379069,177.4857
12.26009,-1.786905,-0.6024098,178.6905
12.28009,-1.798239,-0.5666717,179.8239
12.30009,-1.808853,-0.5307069,180.8853
12.32009,-1.818743,-0.4945298,181.8743
12.34009,-1.827906,-0.458155,182.7906
12.36009,-1.836338,-0.4215969,183.6338
12.38009,-1.844036,-0.3848701,184.4036
12.40009,-1.850996,-0.3479894,185.0995
12.42009,-1.857215,-0.3109695,185.7215
12.44009,-1.862691,-0.2738252,186.2691
12.4601,-1.867423,-0.2365713,186.7423
12.4801,-1.871407,-0.1992229,187.1407
12.5001,-1.874643,-0.1617948,187.4643
12.5201,-1.877129,-0.1243019,187.7129
12.5401,-1.878864,-0.08675931,187.8864
12.5601,-1.879848,-0.04918202,187.9848
12.5801,-1.88008,-0.01158506,188.008
